genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count,genres
"[28, 80, 53]",385687,en,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",4654.279,2023-05-17,Fast X,7.3,2093,"Action, Crime, Thriller"
"[28, 53]",697843,en,"Tasked with extracting a family who is at the mercy of a Georgian gangster, Tyler Rake infiltrates one of the world's deadliest prisons in order to save them. But when the extraction gets hot, and the gangster dies in the heat of battle, his equally ruthless brother tracks down Rake and his team to Sydney, in order to get revenge.",2494.01,2023-06-09,Extraction 2,7.7,910,"Action, Thriller"
"[28, 53, 80]",603692,en,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",1920.127,2023-03-22,John Wick: Chapter 4,7.9,3344,"Action, Thriller, Crime"
"[28, 12, 16, 878]",569094,en,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2013.795,2023-05-31,Spider-Man: Across the Spider-Verse,8.6,1796,"Action, Adventure, Animation, Science Fiction"
"[16, 10751, 12, 14, 35]",502356,en,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",1539.037,2023-04-05,The Super Mario Bros. Movie,7.8,5165,"Animation, Family, Adventure, Fantasy, Comedy"
"[28, 12, 878]",667538,en,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",1423.735,2023-06-06,Transformers: Rise of the Beasts,7.1,469,"Action, Adventure, Science Fiction"
"[16, 35, 10751, 14, 10749]",976573,en,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",1224.27,2023-06-14,Elemental,7.4,200,"Animation, Comedy, Family, Fantasy, Romance"
"[9648, 53, 878]",536437,en,A detective becomes entangled in a mystery involving his missing daughter and a secret government program while investigating a string of reality-bending crimes.,816.476,2023-05-11,Hypnotic,6.4,247,"Mystery, Thriller, Science Fiction"
"[878, 28, 12]",298618,en,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",965.786,2023-06-13,The Flash,6.7,639,"Science Fiction, Action, Adventure"
"[28, 878, 12]",447365,en,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",960.044,2023-05-03,Guardians of the Galaxy Vol. 3,8.0,2111,"Action, Science Fiction, Adventure"
"[878, 12, 28]",76600,en,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",899.251,2022-12-14,Avatar: The Way of Water,7.7,8861,"Science Fiction, Adventure, Action"
"[28, 27, 53]",986070,en,"Two years after she escaped a violent attack on her family, 16-year-old Becky attempts to rebuild her life in the care of an older woman -- a kindred spirit named Elena. However, when a violent group known as the Noble Men break into their home, attack them and take their beloved dog, Becky must return to her old ways to protect herself and her loved ones.",876.439,2023-05-26,The Wrath of Becky,6.6,41,"Action, Horror, Thriller"
"[12, 10751, 14, 10749]",447277,en,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",814.266,2023-05-18,The Little Mermaid,6.2,776,"Adventure, Family, Fantasy, Romance"
"[53, 27]",713704,en,"A reunion between two estranged sisters gets cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",754.93,2023-04-12,Evil Dead Rise,7.0,1765,"Thriller, Horror"
"[27, 53]",890771,en,"Oilman Paul Sturges' idyllic family vacation turns into a nightmare when they encounter a ferocious megalodon shark that will stop at nothing to protect its territory. Stranded and under constant attack, Paul and his family must somehow find a way to get his family back to shore alive before it strikes again in this epic battle between humans and nature.",753.453,2023-04-26,The Black Demon,6.3,233,"Horror, Thriller"
"[10752, 28, 53]",882569,en,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",727.592,2023-04-19,Guy Ritchie's The Covenant,7.8,796,"War, Action, Thriller"
"[18, 10749]",597,en,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",719.081,1997-11-18,Titanic,7.9,23090,"Drama, Romance"
"[28, 14, 53]",1036561,en,"After being slain by a group of criminals, a man is reborn with animal-like superpowers and makes it his mission to right the wrongs of his city.",699.268,2022-11-03,Shadow Master,7.0,43,"Action, Fantasy, Thriller"
"[27, 53]",758323,en,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",523.158,2023-04-05,The Pope's Exorcist,7.2,1481,"Horror, Thriller"
"[28, 12, 878]",640146,en,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",671.435,2023-02-15,Ant-Man and the Wasp: Quantumania,6.5,3410,"Action, Adventure, Science Fiction"
"[35, 28, 14]",594767,en,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",522.597,2023-03-15,Shazam! Fury of the Gods,6.7,2043,"Comedy, Action, Fantasy"
"[35, 18]",626332,en,"The inspiring true story of Richard Montañez, the Frito Lay janitor who channeled his Mexican American heritage and upbringing to turn the iconic Flamin’ Hot Cheetos into a snack that disrupted the food industry and became a global pop culture phenomenon.",579.168,2023-03-11,Flamin' Hot,8.2,253,"Comedy, Drama"
"[53, 27, 878]",1131438,en,"A young British widow shelters an old medical school colleague, a man who has somehow turned himself invisible. As his isolation grows and his sanity frays, he schemes to create a reign of wanton murder and terror across the city.",389.946,2023-06-13,Fear the Invisible Man,7.1,13,"Thriller, Horror, Science Fiction"
"[16, 10751, 14, 12, 35]",315162,en,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",502.086,2022-12-07,Puss in Boots: The Last Wish,8.3,5832,"Animation, Family, Fantasy, Adventure, Comedy"
"[28, 10752, 53]",1074034,en,"When a small outpost is ambushed, a US Army squad must take the battle below ground on a high-stakes mission in a new type of warfare the likes of which they have never seen.",493.641,2023-02-24,Ambush,5.8,18,"Action, War, Thriller"
"[28, 12, 16, 878]",324857,en,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",481.482,2018-12-06,Spider-Man: Into the Spider-Verse,8.4,13337,"Action, Adventure, Animation, Science Fiction"
"[18, 28]",677179,en,"After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter who has nothing to lose.",471.009,2023-03-01,Creed III,7.2,1690,"Drama, Action"
"[10752, 18, 28]",228150,en,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",408.469,2014-10-15,Fury,7.5,10817,"War, Drama, Action"
"[28, 53]",545609,en,"Tyler Rake, a fearless mercenary who offers his services on the black market, embarks on a dangerous mission when he is hired to rescue the kidnapped son of a Mumbai crime lord.",345.242,2020-04-24,Extraction,7.3,5217,"Action, Thriller"
"[35, 10749]",884605,en,"On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.",433.211,2023-06-15,No Hard Feelings,6.4,77,"Comedy, Romance"
"[27, 53]",1098160,en,"In 1978 Oregon, Ben and Jules inherit an abandoned coastal property from Ben's late mother, who's never mentioned it. The untouched house has been kept a secret for 40 years and comes with a beautiful private cove and beach. Jules searches for answers while Ben unwittingly awakens a fiercely protective creature.",291.577,2023-04-21,The Tank,5.1,37,"Horror, Thriller"
"[27, 9648, 53]",934433,en,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",315.504,2023-03-08,Scream VI,7.2,1418,"Horror, Mystery, Thriller"
[27],1115710,en,"A year after the incident at the Mount, the police are still investigating the murders of Philomena and Caroline. The Mount has been cordoned off by the police. However, on Halloween night, a group of teenagers break in. They plan on holding a wedding between friends, conducted by a rather odd character, however, little did they know some unexpected guests would show up to crash the party.",270.78,2023-05-12,The Mount 2,4.6,9,Horror
"[28, 53]",552688,en,"A deadly female assassin comes out of hiding to protect the daughter that she gave up years before, while on the run from dangerous men.",313.012,2023-05-04,The Mother,6.8,837,"Action, Thriller"
"[12, 28]",335977,en,"Finding himself in a new era, approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",378.22,2023-06-28,Indiana Jones and the Dial of Destiny,5.0,24,"Adventure, Action"
"[28, 35, 80]",879444,en,"The Accident Man is back, and this time he must best the top assassins in the world to protect the ungrateful son of a mafia boss, save the life of his only friend and rekindle his relationship with his maniacal father figure.",372.062,2022-10-14,Accident Man: Hitman's Holiday,6.5,86,"Action, Comedy, Crime"
"[28, 12, 878]",634649,en,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",369.39,2021-12-15,Spider-Man: No Way Home,8.0,17687,"Action, Adventure, Science Fiction"
"[35, 28, 80]",647250,en,"Bert Kreischer faces a familial crisis and the arrival of his estranged father when the ghost of his booze-soaked past arrives: a murderous mobster hellbent on kidnapping Bert back to the motherland to atone for his crimes. Together, he and his father must retrace the steps of his younger self in the midst of a war between a sociopathic crime family while they attempt to find common ground.",355.377,2023-05-25,The Machine,6.1,32,"Comedy, Action, Crime"
"[10752, 53, 28, 12, 9648, 878, 18]",1018494,en,"During the last days of World War II, Germany, desperate for any last grasp to defeat the allied powers, looked to their last remaining weapons and soldiers. The German Navy and the last remaining U-Boats were formed together for one desperate last mission – a mission to attack the United States Homeland, known as Operation Seawolf. Captain Hans Kessler, a grizzled submarine commander from both World Wars, is called into service to make one mission a success and help turn the tide of the war.",350.025,2022-10-07,Operation Seawolf,6.0,61,"War, Thriller, Action, Adventure, Mystery, Science Fiction, Drama"
"[28, 35, 10749]",868759,en,"Salt-of-the-earth Cole falls head over heels for enigmatic Sadie — but then makes the shocking discovery that she’s a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.",340.796,2023-04-18,Ghosted,7.1,1033,"Action, Comedy, Romance"
"[28, 12, 878]",505642,en,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",318.151,2022-11-09,Black Panther: Wakanda Forever,7.2,5060,"Action, Adventure, Science Fiction"
"[28, 80, 53, 9648]",605886,en,Baltimore. New Year's Eve. A talented but troubled police officer is recruited by the FBI's chief investigator to help profile and track down a mass murderer.,309.159,2023-04-06,To Catch a Killer,6.9,292,"Action, Crime, Thriller, Mystery"
"[28, 12, 878, 14]",436270,en,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",299.118,2022-10-19,Black Adam,7.1,5111,"Action, Adventure, Science Fiction, Fantasy"
"[28, 12]",1073140,en,"France is in turmoil and a new, naive King finds himself manipulated by the evil Cardinal Richelieu. With a corrupt commander of the royal guard by his side the Cardinal employs the expertise of the devious and wicked Milady de Winter in a plot to bring down the monarchy and drag the country into war. As France burns the Cardinal will take control. All that stands between them and victory are the remnants of an elite group who wore loyalty to crown and country. Above all else The Musketeers will stand against the odds to foil this deadly plot.",298.768,2023-03-23,The Three Musketeers,5.6,42,"Action, Adventure"
"[878, 28, 12, 10751]",620705,en,"After the death of his father, a boy growing up on a lunar mining colony takes a trip to explore a legendary crater, along with his four best friends, prior to being permanently relocated to another planet.",296.1,2023-05-12,Crater,6.7,172,"Science Fiction, Action, Adventure, Family"
"[28, 53]",1094319,en,"Mercenaries seize control of a remote resort hotel during a wedding and it's up to the best man, the groom and their drunken best friend to stop the terrorists and save the hostages.",239.611,2023-04-21,The Best Man,6.1,70,"Action, Thriller"
"[16, 35, 10751, 14]",568124,en,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",400.677,2021-10-13,Encanto,7.6,8311,"Animation, Comedy, Family, Fantasy"
"[27, 53]",913673,en,"On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own.",279.725,2023-04-14,Nefarious,6.8,41,"Horror, Thriller"
"[12, 28, 878]",299536,en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",276.519,2018-04-25,Avengers: Infinity War,8.3,27130,"Adventure, Action, Science Fiction"
"[28, 12, 10752]",948713,en,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",222.198,2023-04-14,The Last Kingdom: Seven Kings Must Die,7.3,447,"Action, Adventure, War"
"[16, 10751, 14, 35]",1040148,en,"A shy teenager discovers that she's part of a legendary royal lineage of mythical sea krakens and that her destiny, in the depths of the oceans, is bigger than she ever dreamed.",259.039,2023-06-28,"Ruby Gillman, Teenage Kraken",10.0,1,"Animation, Family, Fantasy, Comedy"
"[12, 14, 35]",493529,en,"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",257.711,2023-03-23,Dungeons & Dragons: Honor Among Thieves,7.5,1797,"Adventure, Fantasy, Comedy"
"[53, 35, 80]",804150,en,"Inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.",253.485,2023-02-22,Cocaine Bear,6.3,1205,"Thriller, Comedy, Crime"
"[16, 10751]",73723,en,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",253.169,2012-03-01,The Lorax,6.5,3068,"Animation, Family"
"[27, 14]",346364,en,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",248.283,2017-09-06,It,7.2,17704,"Horror, Fantasy"
"[878, 27]",536554,en,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",202.654,2022-12-28,M3GAN,7.3,2813,"Science Fiction, Horror"
[27],1115939,en,"When Billie finds herself reliving different versions of the same first date, she must break out of a series of loops created by her manipulative ex-girlfriend.",189.645,2023-06-14,Jagged Mind,5.4,9,Horror
"[18, 53, 35]",870518,en,"Confined to a claustrophobic hotel room, the heir to a hotel empire and the dominatrix who has primed him for success become locked in a battle of wits and wills as he tries to end his relationship with her.",237.975,2023-04-06,Sanctuary,7.1,21,"Drama, Thriller, Comedy"
"[878, 28, 12]",91314,en,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",234.982,2014-06-25,Transformers: Age of Extinction,5.9,7408,"Science Fiction, Action, Adventure"
"[14, 28, 12]",455476,en,"When a headstrong street orphan, Seiya, in search of his abducted sister unwittingly taps into hidden powers, he discovers he might be the only person alive who can protect a reincarnated goddess, sent to watch over humanity. Can he let his past go and embrace his destiny to become a Knight of the Zodiac?",227.387,2023-04-27,Knights of the Zodiac,6.1,100,"Fantasy, Action, Adventure"
"[27, 878, 53]",667216,en,"While staying at an isolated island resort, James and Em are enjoying a perfect vacation of pristine beaches, exceptional staff, and soaking up the sun. But guided by the seductive and mysterious Gabi, they venture outside the resort grounds and find themselves in a culture filled with violence, hedonism, and untold horror. A tragic accident leaves them facing a zero tolerance policy for crime: either you'll be executed, or, if you’re rich enough to afford it, you can watch yourself die instead.",225.134,2023-01-27,Infinity Pool,6.3,302,"Horror, Science Fiction, Thriller"
"[10749, 18, 35]",1016121,en,"Bad-boy Travis is exactly what college freshman Abby needs and wants to avoid. He spends his nights fighting in underground boxing matches, and his days as the ultimate college campus charmer. But Abby wants nothing to do with Travis. Intrigued by Abby’s resistance, Travis offers her a simple bet: if he loses his next fight, he must remain sex-free for a month. If he wins, Abby must live in his apartment for the same amount of time. Either way, Travis has no idea that Abby’s dark past is about to emerge, and he may have finally met his match.",223.937,2023-04-04,Beautiful Disaster,6.5,302,"Romance, Drama, Comedy"
"[16, 10751, 12, 35]",675445,en,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,222.887,2021-08-09,PAW Patrol: The Movie,7.4,1120,"Animation, Family, Adventure, Comedy"
[35],346698,en,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",221.215,2023-07-19,Barbie,0.0,0,Comedy
"[28, 12, 53]",646389,en,"After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.",220.821,2023-01-12,Plane,6.9,1352,"Action, Adventure, Thriller"
"[28, 18]",361743,en,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",201.128,2022-05-24,Top Gun: Maverick,8.3,7053,"Action, Drama"
"[10751, 14, 28, 12]",420808,en,"Wendy Darling, a young girl afraid to leave her childhood home behind, meets Peter Pan, a boy who refuses to grow up. Alongside her brothers and a tiny fairy, Tinker Bell, she travels with Peter to the magical world of Neverland. There, she encounters an evil pirate captain, Captain Hook, and embarks on a thrilling adventure that will change her life forever.",172.52,2023-04-20,Peter Pan & Wendy,5.7,460,"Family, Fantasy, Action, Adventure"
"[80, 9648, 53]",414906,en,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",195.387,2022-03-01,The Batman,7.7,8126,"Crime, Mystery, Thriller"
"[10751, 14, 12]",893345,en,"Verity and Peter’s trip to the old family mansion takes a turn when the floor of their room suddenly gives way and they fall into an underground chamber where they are met by a civilization of creatures. The leader tells them that Peter's arrival was foretold as he’s the one who can use Great Clock of the Citadel to restart time and destroy the Shroud, a malevolent creature who feeds on fear itself...",211.594,2023-04-27,The Secret Kingdom,6.8,21,"Family, Fantasy, Adventure"
"[28, 12, 14, 878]",19995,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",209.916,2009-12-15,Avatar,7.6,29311,"Action, Adventure, Fantasy, Science Fiction"
"[27, 9648, 53]",614479,en,"To put their demons to rest once and for all, Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before, facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.",206.901,2023-06-16,Insidious: The Red Door,9.1,5,"Horror, Mystery, Thriller"
"[27, 53]",993867,en,"When an unknown disease wipes out most of the world’s population, a man with unique blood is isolated for study. Fearing for his wife’s safety, he breaks his quarantine – into a world overrun by monstrous Infected and a shadowy agency hunting them down.",203.26,2022-07-15,Eradication,6.3,22,"Horror, Thriller"
"[35, 80]",638974,en,"After starting their own detective agency, Nick and Audrey Spitz land a career-making case when their billionaire pal is kidnapped from his wedding.",202.725,2023-03-28,Murder Mystery 2,6.6,1181,"Comedy, Crime"
[53],985939,en,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",198.173,2022-08-11,Fall,7.3,2977,Thriller
"[27, 53]",663712,en,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",197.173,2022-10-06,Terrifier 2,6.9,1268,"Horror, Thriller"
"[28, 878, 27]",615656,en,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,196.858,2023-08-02,Meg 2: The Trench,0.0,0,"Action, Science Fiction, Horror"
[18],37799,en,"The tale of a new breed of cultural insurgent: a punk genius who sparked a revolution and changed the face of human interaction for a generation, and perhaps forever.",196.426,2010-10-01,The Social Network,7.4,10957,Drama
"[16, 35, 10751]",8920,en,"Garfield, the fat, lazy, lasagna lover, has everything a cat could want. But when Jon, in an effort to impress the Liz - the vet and an old high-school crush - adopts a dog named Odie and brings him home, Garfield gets the one thing he doesn't want. Competition.",195.539,2004-06-10,Garfield,5.7,3493,"Animation, Comedy, Family"
"[16, 10751]",11360,en,"Dumbo is a baby elephant born with over-sized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy Timothy the Mouse,  the pint-sized pachyderm learns to surmount all obstacles.",195.124,1941-10-31,Dumbo,7.0,4483,"Animation, Family"
"[10749, 18]",744276,en,"As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for.",182.078,2022-08-24,After Ever Happy,6.8,872,"Romance, Drama"
"[28, 12, 10751, 35]",675353,en,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",189.059,2022-04-08,Sonic the Hedgehog 2,7.6,4019,"Action, Adventure, Family, Comedy"
"[14, 28, 35]",616037,en,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",188.579,2022-07-06,Thor: Love and Thunder,6.6,6141,"Fantasy, Action, Comedy"
"[28, 80, 53]",1105803,en,"An Australian lone wolf's quiet existence is shattered when he learns that the woman he once loved and thought was dead is alive and held captive by ruthless gangsters. Now, to take on this dangerous criminal organization, he must seek out allies and storm into a world of violence to rescue the love of his life in this gritty, modern day violent fairytale.",165.036,2023-04-28,Snag,5.8,37,"Action, Crime, Thriller"
"[10752, 18, 36]",530915,en,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",185.926,2019-12-25,1917,8.0,11132,"War, Drama, History"
"[28, 53, 80]",1070777,en,"Jackie Powers will stop at nothing to prevent his son from following him into a life of crime. With his mob employer in pursuit, a chance encounter at a roadside diner charts a new path.",185.785,2023-04-04,One Day as a Lion,5.9,34,"Action, Thriller, Crime"
"[878, 53, 18]",700391,en,"65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth, must fend off dinosaurs to reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.",184.938,2023-03-02,65,6.2,1284,"Science Fiction, Thriller, Drama"
"[28, 18, 36]",724495,en,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",166.216,2022-09-16,The Woman King,7.8,1587,"Action, Drama, History"
"[12, 10751, 14]",411,en,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",181.998,2005-12-07,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.1,9608,"Adventure, Family, Fantasy"
"[12, 28, 878]",507086,en,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators ona planet they now share with history's most fearsome creatures.",181.763,2022-06-01,Jurassic World Dominion,6.8,4953,"Adventure, Action, Science Fiction"
"[28, 12, 53]",44918,en,"On the 100th anniversary of the original voyage, a modern luxury liner christened ""Titanic 2,"" follows the path of its namesake. But when a tsunami hurls an ice berg into the new ship's path, the passengers and crew must fight to avoid a similar fate.",181.561,2010-08-07,Titanic II,4.9,345,"Action, Adventure, Thriller"
"[53, 28, 878]",766507,en,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",169.138,2022-08-02,Prey,7.8,5578,"Thriller, Action, Science Fiction"
"[27, 53]",980078,en,"Christopher Robin is headed off to college and he has abandoned his old friends, Pooh and Piglet, which then leads to the duo embracing their inner monsters.",179.695,2023-01-27,Winnie the Pooh: Blood and Honey,5.7,660,"Horror, Thriller"
