genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count,genres
"[28, 12, 878]",49529,en,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",45.059,2012-03-07,John Carter,6.3,5125,"Action, Adventure, Science Fiction"
"[53, 18]",878183,en,"It's the final weeks of the most consequential presidential election in history. America is poised to elect either its first female president or its first viable independent candidate. Reporting history as it's made, an idealistic young journalist teams up with her idol, legendary journalist Nick Booker, to uncover a conspiracy that places the fate of the election, and the country, in their hands.",44.957,2022-11-02,The Independent,7.3,82,"Thriller, Drama"
"[35, 10749]",10591,en,"Exceptionally ambitious high schooler Matthew has aspirations for a career in politics when he falls in love with his gorgeous 19-year-old neighbor, Danielle. But Matthew's bright future is jeopardized when he finds Danielle was once a porn star. As Danielle's past catches up with her, Matthew's love for her forces him to re-evaluate his goals.",44.942,2004-04-09,The Girl Next Door,6.7,3091,"Comedy, Romance"
"[12, 16, 10751]",105864,en,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,44.89,2015-11-14,The Good Dinosaur,6.7,5041,"Adventure, Animation, Family"
"[35, 27]",273477,en,"Three scouts and lifelong friends join forces with one badass cocktail waitress to become the world’s most unlikely team of heroes.  When their peaceful town is ravaged by a zombie invasion, they’ll fight for the badge of a lifetime and put their scouting skills to the test to save mankind from the undead.",44.846,2015-10-23,Scouts Guide to the Zombie Apocalypse,6.5,1693,"Comedy, Horror"
"[53, 28, 80]",38700,en,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",44.843,2020-01-15,Bad Boys for Life,7.1,7476,"Thriller, Action, Crime"
"[35, 18, 10749]",844404,en,"Bill is an ailing larger-than-life father being taken care of by his son Sam, who has returned home to care for him. While home, Sam falls for a local woman, Kate. At the same time, Bill starts to fall for her mom, Tina.",44.842,2022-11-11,Sam & Kate,6.7,29,"Comedy, Drama, Romance"
"[80, 18]",103,en,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,44.841,1976-02-09,Taxi Driver,8.2,10764,"Crime, Drama"
"[80, 28, 18, 53]",9702,en,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on half-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo.",44.83,1993-02-05,Bound by Honor,8.1,1107,"Crime, Action, Drama, Thriller"
"[27, 53]",632727,en,"After nearly 50 years of hiding, Leatherface returns to terrorize a group of idealistic influencers who accidentally disrupt his carefully shielded world in a remote Texas town.",44.803,2022-02-18,Texas Chainsaw Massacre,5.2,1175,"Horror, Thriller"
"[28, 80, 18]",7220,en,"When undercover FBI agent Frank Castle's wife and son are slaughtered, he becomes 'the Punisher' -- a ruthless vigilante willing to go to any length to avenge his family.",44.751,2004-04-15,The Punisher,6.3,2495,"Action, Crime, Drama"
"[28, 18, 9648, 53, 80]",7485,en,"A top Marine sniper, Bob Lee Swagger, leaves the military after a mission goes horribly awry and disappears, living in seclusion. He is coaxed back into service after a high-profile government official convinces him to help thwart a plot to kill the President of the United States. Ultimately double-crossed and framed for the attempt, Swagger becomes the target of a nationwide manhunt. He goes on the run to track the real killer and find out who exactly set him up, and why, eventually seeking revenge against some of the most powerful and corrupt leaders in the free world.",44.704,2007-03-22,Shooter,7.1,4284,"Action, Drama, Mystery, Thriller, Crime"
[99],1127211,en,"From groundbreaking human cloning research to a scandalous downfall, this documentary tells the captivating story of Korea's most notorious scientist.",44.664,2023-06-23,King of Clones,6.8,5,Documentary
"[12, 28, 878]",20526,en,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",44.656,2010-12-14,TRON: Legacy,6.4,6509,"Adventure, Action, Science Fiction"
"[18, 10402, 36]",614934,en,"The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.",44.645,2022-06-22,Elvis,7.6,2642,"Drama, Music, History"
"[18, 14]",345938,en,"After suffering a family tragedy, Mack Phillips spirals into a deep depression causing him to question his innermost beliefs. Facing a crisis of faith, he receives a mysterious letter urging him to an abandoned shack deep in the Oregon wilderness. Despite his doubts, Mack journeys to the shack and encounters an enigmatic trio of strangers led by a woman named Papa. Through this meeting, Mack finds important truths that will transform his understanding of his tragedy and change his life forever.",44.638,2017-03-03,The Shack,7.5,1917,"Drama, Fantasy"
[80],800815,en,"West Point, New York, 1830. When a cadet at the burgeoning military academy is found hanged with his heart cut out, the top brass summons former New York City constable Augustus Landor to investigate. While attempting to solve this grisly mystery, the reluctant detective engages the help of one of the cadets: a strange but brilliant young fellow by the name of Edgar Allan Poe",44.605,2022-12-22,The Pale Blue Eye,6.9,1357,Crime
[18],389,en,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",44.553,1957-04-10,12 Angry Men,8.5,7360,Drama
"[9648, 80, 53]",505026,en,Belgian sleuth Hercule Poirot's Egyptian vacation aboard a glamorous river steamer turns into a terrifying search for a murderer when a picture-perfect couple's idyllic honeymoon is tragically cut short.,44.492,2022-02-09,Death on the Nile,6.5,2828,"Mystery, Crime, Thriller"
"[10749, 35, 12]",813726,en,"After an unexpected break up, a travel executive accepts an assignment to go undercover and learn about the tourist industry in Vietnam. Along the way, she finds adventure and romance with her Vietnamese expat tour guide and they decide to hijack the tour bus in order to explore life and love off the beaten path.",44.314,2023-04-21,A Tourist's Guide to Love,6.4,100,"Romance, Comedy, Adventure"
"[27, 14]",22970,en,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",44.218,2012-04-12,The Cabin in the Woods,6.6,7147,"Horror, Fantasy"
"[16, 35, 12, 10751]",454640,en,"Red, Chuck, Bomb and the rest of their feathered friends are surprised when a green pig suggests that they put aside their differences and unite to fight a common threat. Aggressive birds from an island covered in ice are planning to use an elaborate weapon to destroy the fowl and swine.",44.188,2019-08-02,The Angry Birds Movie 2,7.1,1462,"Animation, Comedy, Adventure, Family"
"[878, 12, 28]",1927,en,"Bruce Banner, a genetics researcher with a tragic past, suffers massive radiation exposure in his laboratory that causes him to transform into a raging green monster when he gets angry.",44.183,2003-06-19,Hulk,5.5,5284,"Science Fiction, Adventure, Action"
"[80, 18, 53]",242582,en,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",44.832,2014-10-23,Nightcrawler,7.7,9846,"Crime, Drama, Thriller"
